time,ax,ay,az,atotal
1.471,-0.49,-0.18,3.10,3.14
1.481,-0.25,0.05,3.01,3.02
1.491,-0.11,0.46,2.61,2.65
1.501,-0.24,0.74,2.27,2.39
1.511,-0.23,0.75,2.01,2.16
1.521,-0.19,0.62,2.10,2.20
1.531,-0.49,0.56,2.35,2.46
1.541,-0.95,0.40,2.49,2.70
1.551,-1.21,0.19,2.34,2.64
1.561,-0.98,0.23,1.80,2.06
1.571,-0.57,0.35,1.12,1.30
1.581,-0.10,0.13,0.67,0.69
1.591,-0.31,0.16,0.53,0.64
1.601,-0.52,0.31,0.62,0.86
1.611,-0.31,0.25,0.58,0.70
1.621,-0.02,0.11,0.64,0.65
1.631,0.35,-0.09,0.80,0.88
1.641,0.65,-0.17,1.04,1.24
1.651,0.65,-0.13,0.98,1.18
1.661,0.48,0.06,0.76,0.90
1.671,0.19,0.22,0.53,0.60
1.681,-0.06,0.26,0.31,0.41
1.691,-0.19,0.11,0.22,0.31
1.701,-0.42,-0.07,0.18,0.46
1.711,-0.53,0.01,0.08,0.54
1.721,-0.33,0.16,-0.00,0.36
1.731,-0.14,0.24,0.02,0.28
1.741,-0.12,0.17,0.21,0.29
1.751,-0.08,0.07,0.50,0.51
1.761,-0.12,0.06,0.62,0.63
1.771,-0.05,0.15,0.56,0.58
1.781,0.18,0.41,0.32,0.55
1.791,0.35,0.62,0.10,0.72
1.801,0.38,0.60,0.08,0.71
1.811,0.13,0.57,0.19,0.61
1.821,-0.13,0.52,0.33,0.63
1.831,-0.31,0.37,0.46,0.66
1.841,-0.33,0.21,0.58,0.70
1.851,-0.23,0.15,0.54,0.61
1.861,-0.14,0.14,0.39,0.44
1.871,-0.08,0.26,0.22,0.35
1.881,0.01,0.46,-0.02,0.46
1.891,-0.07,0.42,-0.12,0.44
1.901,-0.23,0.33,0.03,0.40
1.911,-0.27,0.33,0.25,0.49
1.921,-0.29,0.31,0.40,0.59
1.931,-0.32,0.27,0.56,0.70
1.941,-0.32,0.28,0.60,0.73
1.951,-0.27,0.38,0.46,0.65
1.961,-0.20,0.44,0.21,0.53
1.971,-0.14,0.46,0.06,0.48
1.981,-0.20,0.36,-0.06,0.42
1.991,-0.28,0.27,-0.06,0.39
2.002,-0.25,0.21,0.01,0.33
2.011,-0.21,0.22,0.13,0.33
2.021,-0.13,0.19,0.29,0.37
2.031,-0.18,0.10,0.37,0.43
2.041,-0.24,0.03,0.47,0.53
2.051,-0.14,0.06,0.47,0.50
2.061,-0.03,0.11,0.51,0.53
2.071,-0.04,0.17,0.51,0.54
2.081,-0.12,0.18,0.44,0.49
2.091,-0.11,0.19,0.41,0.47
2.101,-0.04,0.24,0.35,0.43
2.112,0.00,0.21,0.28,0.35
2.121,0.02,0.15,0.21,0.26
2.132,-0.01,0.15,0.15,0.21
2.141,-0.08,0.11,0.18,0.22
2.151,-0.06,0.05,0.19,0.20
2.161,-0.05,0.02,0.19,0.20
2.172,-0.08,0.05,0.20,0.22
2.181,-0.17,0.08,0.18,0.26
2.192,-0.21,0.10,0.12,0.26
2.202,-0.23,0.18,0.03,0.29
2.212,-0.20,0.22,-0.05,0.30
2.222,-0.23,0.25,-0.04,0.34
2.232,-0.22,0.27,0.04,0.35
2.242,-0.20,0.25,0.14,0.35
2.252,-0.09,0.24,0.19,0.32
2.262,-0.05,0.24,0.23,0.33
2.271,-0.10,0.23,0.24,0.35
2.282,-0.10,0.25,0.22,0.35
2.292,-0.11,0.27,0.15,0.33
2.302,-0.13,0.27,0.14,0.33
2.312,-0.20,0.24,0.18,0.36
2.322,-0.18,0.22,0.25,0.38
2.332,-0.07,0.21,0.27,0.35
2.342,0.01,0.17,0.31,0.35
2.352,0.10,0.15,0.31,0.36
2.362,0.12,0.09,0.28,0.32
2.372,0.13,0.11,0.28,0.33
2.382,0.10,0.13,0.24,0.29
2.392,-0.01,0.15,0.21,0.25
2.402,-0.11,0.15,0.20,0.27
2.412,-0.19,0.17,0.13,0.29
2.422,-0.26,0.19,0.05,0.33
2.432,-0.30,0.22,0.03,0.38
2.442,-0.29,0.23,0.04,0.38
2.452,-0.21,0.22,0.04,0.31
2.462,-0.14,0.21,0.02,0.25
2.472,-0.09,0.20,0.03,0.22
2.482,-0.06,0.19,0.03,0.20
2.492,-0.09,0.18,0.04,0.20
2.502,-0.13,0.16,0.13,0.24
2.512,-0.12,0.16,0.26,0.33
2.522,-0.10,0.16,0.28,0.34
2.532,-0.09,0.14,0.28,0.33
2.542,-0.14,0.15,0.22,0.30
2.552,-0.19,0.17,0.14,0.29
2.562,-0.19,0.13,0.08,0.24
2.572,-0.15,0.12,0.05,0.20
2.582,-0.14,0.13,0.07,0.20
2.592,-0.13,0.10,0.16,0.23
2.602,-0.14,0.10,0.15,0.23
2.612,-0.11,0.14,0.10,0.20
2.622,-0.14,0.22,0.02,0.26
2.632,-0.23,0.25,0.01,0.34
2.642,-0.26,0.21,0.11,0.35
2.652,-0.25,0.17,0.29,0.42
2.662,-0.21,0.15,0.42,0.50
2.672,-0.20,0.14,0.45,0.51
2.682,-0.16,0.15,0.38,0.44
2.692,-0.08,0.17,0.27,0.33
2.702,-0.06,0.20,0.16,0.27
2.712,-0.07,0.17,0.09,0.21
2.722,-0.09,0.15,0.11,0.20
2.732,-0.13,0.16,0.13,0.24
2.742,-0.11,0.17,0.13,0.24
2.752,-0.03,0.17,0.18,0.25
2.762,-0.05,0.15,0.25,0.29
2.772,-0.10,0.15,0.34,0.39
2.782,-0.11,0.16,0.32,0.38
2.792,-0.13,0.15,0.23,0.31
2.802,-0.06,0.15,0.16,0.23
2.812,-0.01,0.19,0.07,0.20
2.822,0.02,0.19,0.02,0.19
2.832,-0.01,0.17,0.03,0.17
2.842,-0.07,0.15,0.11,0.20
2.852,-0.08,0.14,0.19,0.25
2.862,-0.09,0.14,0.23,0.28
2.872,-0.10,0.15,0.24,0.30
2.882,-0.16,0.13,0.22,0.30
2.892,-0.22,0.13,0.17,0.30
2.902,-0.15,0.13,0.10,0.22
2.912,-0.13,0.14,0.02,0.19
2.922,-0.19,0.12,0.07,0.24
2.932,-0.20,0.12,0.12,0.26
2.942,-0.13,0.13,0.11,0.21
2.952,-0.05,0.14,0.11,0.19
2.962,-0.10,0.14,0.16,0.23
2.972,-0.11,0.12,0.20,0.26
2.982,-0.11,0.11,0.19,0.24
2.992,-0.12,0.12,0.16,0.23
3.002,-0.14,0.10,0.12,0.21
3.012,-0.17,0.10,0.15,0.24
3.022,-0.17,0.13,0.11,0.24
3.032,-0.14,0.15,0.04,0.20
3.042,-0.16,0.14,0.07,0.22
3.052,-0.11,0.12,0.13,0.21
3.062,-0.08,0.11,0.13,0.19
3.072,-0.10,0.12,0.14,0.21
3.082,-0.11,0.12,0.14,0.21
3.092,-0.16,0.14,0.12,0.24
3.102,-0.23,0.15,0.09,0.29
3.112,-0.20,0.15,0.04,0.25
3.122,-0.12,0.14,0.00,0.18
3.132,-0.06,0.13,0.05,0.15
3.142,-0.03,0.11,0.08,0.14
3.152,-0.06,0.09,0.10,0.15
3.162,-0.11,0.08,0.18,0.23
3.172,-0.16,0.10,0.24,0.31
3.182,-0.20,0.11,0.20,0.30
3.192,-0.24,0.13,0.11,0.29
3.202,-0.24,0.16,0.04,0.29
3.212,-0.19,0.17,0.04,0.26
3.222,-0.14,0.15,0.13,0.24
3.232,-0.05,0.07,0.20,0.22
3.242,0.05,0.08,0.26,0.28
3.252,0.06,0.08,0.35,0.36
3.262,0.03,0.09,0.36,0.37
3.272,-0.02,0.08,0.32,0.34
3.282,-0.07,0.10,0.23,0.26
3.292,-0.08,0.13,0.15,0.21
3.302,-0.11,0.17,0.12,0.24
3.312,-0.14,0.15,0.10,0.23
3.322,-0.13,0.16,0.04,0.21
3.332,-0.12,0.18,0.01,0.22
3.342,-0.12,0.18,0.04,0.21
3.352,-0.16,0.15,0.07,0.23
3.362,-0.21,0.15,0.12,0.29
3.372,-0.22,0.15,0.15,0.31
3.382,-0.23,0.14,0.18,0.33
3.392,-0.20,0.12,0.18,0.29
3.402,-0.10,0.11,0.12,0.19
3.412,-0.06,0.12,0.10,0.17
3.422,-0.02,0.09,0.11,0.15
3.432,0.00,0.08,0.04,0.09
3.442,-0.05,0.10,-0.02,0.11
3.452,-0.11,0.11,-0.07,0.17
3.462,-0.10,0.10,-0.06,0.16
3.472,-0.16,0.12,0.02,0.20
3.482,-0.22,0.09,0.09,0.25
3.492,-0.22,0.06,0.13,0.26
3.503,-0.20,0.04,0.11,0.23
3.512,-0.17,0.05,0.08,0.19
3.523,-0.12,0.06,0.03,0.14
3.533,-0.10,0.09,-0.05,0.14
3.543,-0.06,0.10,-0.08,0.13
3.553,-0.07,0.08,-0.06,0.13
3.562,-0.10,0.11,-0.03,0.15
3.573,-0.13,0.10,-0.02,0.17
3.582,-0.19,0.11,0.06,0.23
3.592,-0.21,0.11,0.13,0.27
3.602,-0.15,0.13,0.16,0.26
3.613,-0.10,0.16,0.11,0.22
3.623,-0.07,0.15,0.05,0.17
3.633,-0.09,0.14,0.00,0.16
3.643,-0.07,0.11,0.02,0.14
3.652,-0.14,0.11,0.10,0.20
3.663,-0.15,0.11,0.15,0.24
3.673,-0.11,0.10,0.17,0.23
3.683,-0.06,0.10,0.19,0.22
3.693,-0.05,0.08,0.20,0.22
3.703,-0.05,0.12,0.17,0.21
3.713,-0.07,0.12,0.13,0.19
3.723,-0.11,0.12,0.12,0.20
3.733,-0.15,0.14,0.09,0.22
3.743,-0.12,0.12,0.08,0.19
3.753,-0.11,0.08,0.11,0.17
3.763,-0.12,0.07,0.14,0.20
3.773,-0.08,0.07,0.12,0.16
3.783,-0.10,0.09,0.10,0.16
3.793,-0.11,0.07,0.07,0.15
3.803,-0.13,0.06,0.07,0.16
3.813,-0.17,0.07,0.10,0.21
3.823,-0.17,0.09,0.07,0.20
3.833,-0.16,0.10,0.02,0.19
3.843,-0.17,0.11,0.01,0.20
3.853,-0.20,0.10,0.01,0.23
3.863,-0.17,0.07,0.05,0.19
3.873,-0.11,0.08,0.08,0.15
3.883,-0.17,0.04,0.16,0.23
3.893,-0.09,0.01,0.18,0.20
3.903,-0.08,0.05,0.17,0.19
3.913,-0.06,0.07,0.14,0.17
3.923,-0.06,0.07,0.06,0.11
3.933,-0.06,0.07,0.06,0.10
3.943,-0.07,0.06,0.10,0.14
3.953,-0.05,0.05,0.13,0.15
3.963,-0.04,0.07,0.13,0.16
3.973,-0.05,0.08,0.15,0.18
3.983,-0.04,0.05,0.16,0.17
3.992,-0.06,0.05,0.16,0.18
4.002,-0.09,0.07,0.12,0.17
4.012,-0.17,0.10,0.07,0.21
4.022,-0.14,0.11,0.00,0.18
4.032,-0.14,0.12,-0.01,0.18
4.042,-0.13,0.11,0.02,0.18
4.052,-0.14,0.10,0.05,0.18
4.062,-0.08,0.13,0.08,0.17
4.072,-0.04,0.13,0.07,0.15
4.082,-0.06,0.13,0.08,0.17
4.092,-0.08,0.14,0.09,0.18
4.101,-0.14,0.12,0.10,0.21
4.112,-0.19,0.11,0.14,0.26
4.122,-0.21,0.11,0.10,0.26
4.132,-0.22,0.12,0.02,0.25
4.142,-0.20,0.11,-0.02,0.23
4.152,-0.21,0.08,0.03,0.23
4.162,-0.18,0.04,0.15,0.24
4.172,-0.13,0.02,0.21,0.25
4.182,-0.06,0.03,0.19,0.20
4.192,-0.02,0.04,0.11,0.12
4.202,-0.00,0.03,0.05,0.06
4.212,-0.01,0.03,0.04,0.05
4.222,-0.06,0.03,0.08,0.10
4.232,-0.10,0.03,0.14,0.18
4.242,-0.15,0.06,0.17,0.23
4.252,-0.19,0.07,0.13,0.24
4.262,-0.24,0.07,0.10,0.27
4.272,-0.21,0.09,0.05,0.24
4.282,-0.20,0.11,0.01,0.23
4.292,-0.17,0.11,-0.01,0.20
4.302,-0.15,0.07,-0.01,0.17
4.312,-0.15,0.09,0.03,0.17
4.322,-0.18,0.08,0.12,0.23
4.332,-0.06,0.05,0.09,0.12
4.342,0.02,0.07,0.21,0.22
4.356,-0.01,0.06,0.26,0.27
4.365,-0.05,0.06,0.18,0.19
4.376,-0.05,0.08,0.13,0.16
4.386,-0.06,0.09,0.05,0.12
4.396,-0.07,0.08,-0.02,0.11
4.405,-0.10,0.06,-0.03,0.12
4.416,-0.11,0.07,-0.01,0.13
4.426,-0.09,0.05,0.02,0.11
4.436,-0.04,0.05,0.08,0.11
4.446,-0.06,0.08,0.08,0.12
4.456,-0.08,0.09,0.08,0.14
4.466,-0.11,0.12,0.04,0.17
4.476,-0.15,0.11,0.05,0.19
4.486,-0.21,0.08,0.12,0.26
4.496,-0.21,0.08,0.17,0.29
4.506,-0.20,0.07,0.15,0.26
4.516,-0.17,0.08,0.11,0.22
4.526,-0.12,0.09,0.06,0.16
4.536,-0.09,0.10,-0.01,0.13
4.546,-0.11,0.08,-0.01,0.14
4.556,-0.02,0.06,-0.03,0.07
4.566,-0.03,0.03,0.08,0.09
4.576,-0.14,0.03,0.15,0.21
4.586,-0.20,0.06,0.15,0.26
4.596,-0.18,0.08,0.14,0.24
4.606,-0.10,0.08,0.11,0.18
4.616,-0.10,0.07,0.08,0.14
4.626,-0.09,0.08,0.09,0.15
4.636,-0.09,0.06,0.09,0.14
4.646,-0.07,0.06,0.11,0.14
4.656,-0.08,0.07,0.07,0.13
4.666,-0.10,0.07,-0.02,0.12
4.676,-0.13,0.06,-0.00,0.14
4.686,-0.15,0.06,0.07,0.17
4.696,-0.17,0.05,0.12,0.21
4.706,-0.16,0.04,0.14,0.22
4.716,-0.15,0.05,0.14,0.21
4.726,-0.15,0.05,0.14,0.21
4.736,-0.16,0.04,0.08,0.18
4.746,-0.12,0.05,0.03,0.13
4.756,-0.10,0.06,0.03,0.12
4.766,-0.05,0.05,0.04,0.08
4.776,-0.06,0.04,0.03,0.08
4.786,-0.10,0.04,0.02,0.11
4.796,-0.11,0.03,0.04,0.12
4.806,-0.12,0.03,0.05,0.13
4.816,-0.16,0.06,0.04,0.18
4.826,-0.17,0.04,0.06,0.19
4.836,-0.18,0.04,0.08,0.20
4.846,-0.20,0.05,0.09,0.22
4.856,-0.18,0.07,0.06,0.21
4.866,-0.13,0.07,0.02,0.14
4.876,-0.03,0.07,-0.02,0.08
4.886,0.01,0.08,0.01,0.08
4.896,0.02,0.06,0.02,0.06
4.906,-0.03,0.06,0.06,0.09
4.916,-0.10,0.08,0.12,0.18
4.926,-0.14,0.09,0.18,0.25
4.936,-0.15,0.08,0.19,0.25
4.946,-0.17,0.08,0.13,0.22
4.956,-0.14,0.09,0.04,0.17
4.966,-0.10,0.09,-0.02,0.14
4.976,-0.10,0.09,-0.05,0.14
4.986,-0.11,0.06,-0.13,0.18
4.996,-0.17,0.07,-0.20,0.27
5.006,-0.19,0.05,-0.18,0.27
5.016,-0.18,0.01,-0.08,0.20
5.026,-0.14,-0.02,0.01,0.14
5.036,-0.08,-0.03,0.07,0.11
5.046,-0.08,0.01,0.12,0.15
5.056,-0.07,0.04,0.13,0.15
5.066,-0.10,0.03,0.12,0.16
5.076,-0.14,0.04,0.07,0.16
5.086,-0.15,0.07,0.02,0.17
5.096,-0.13,0.07,-0.00,0.15
5.106,-0.17,0.08,0.00,0.19
5.116,-0.21,0.08,0.01,0.23
5.126,-0.20,0.09,0.04,0.22
5.136,-0.18,0.08,0.07,0.21
5.146,-0.18,0.07,0.08,0.21
5.156,-0.15,0.05,0.06,0.17
5.166,-0.08,0.03,0.05,0.10
5.176,-0.04,0.00,0.10,0.11
5.186,-0.00,-0.01,0.11,0.11
5.196,0.05,-0.01,0.11,0.12
5.206,0.02,0.01,0.10,0.11
5.216,0.03,0.03,0.08,0.09
5.226,-0.04,0.06,0.00,0.07
5.236,-0.18,0.07,-0.08,0.21
5.246,-0.26,0.07,-0.08,0.29
5.256,-0.22,0.06,-0.08,0.24
5.266,-0.17,0.05,-0.04,0.18
5.276,-0.12,0.04,-0.03,0.13
5.286,-0.07,0.03,-0.01,0.08
5.296,-0.07,0.05,-0.03,0.10
5.306,-0.09,0.05,-0.06,0.12
5.316,-0.11,0.06,-0.06,0.14
5.326,-0.08,0.05,-0.01,0.10
5.336,-0.11,0.05,0.08,0.15
5.346,-0.10,0.06,0.12,0.17
5.356,-0.09,0.07,0.15,0.18
5.366,-0.06,0.06,0.18,0.19
5.376,-0.08,0.08,0.19,0.22
5.386,-0.11,0.08,0.17,0.21
5.396,-0.09,0.05,0.11,0.15
5.406,-0.09,0.04,0.07,0.12
5.416,-0.09,0.04,0.06,0.12
5.426,-0.08,0.03,0.05,0.10
5.436,-0.08,0.04,0.03,0.09
5.446,-0.08,0.04,0.05,0.10
5.456,-0.08,0.05,0.05,0.11
5.466,-0.08,0.05,0.05,0.10
5.476,-0.12,0.05,0.07,0.14
5.486,-0.16,0.06,0.08,0.19
5.496,-0.16,0.07,0.06,0.19
5.506,-0.13,0.06,0.07,0.16
5.516,-0.13,0.05,0.01,0.14
5.526,-0.12,0.05,-0.04,0.13
5.536,-0.13,0.04,-0.05,0.15
5.546,-0.14,0.03,-0.05,0.15
5.557,-0.15,0.05,-0.03,0.16
5.566,-0.18,0.06,0.00,0.19
5.576,-0.14,0.03,-0.00,0.14
5.586,-0.15,0.05,0.02,0.16
5.596,-0.12,0.05,0.02,0.13
5.606,-0.11,0.02,-0.00,0.11
5.616,-0.08,0.02,0.00,0.08
5.626,-0.06,0.03,0.02,0.07
5.636,-0.05,0.02,0.03,0.07
5.646,-0.09,0.00,0.08,0.12
5.656,-0.08,0.01,0.08,0.11
5.666,-0.10,0.01,0.07,0.12
5.676,-0.10,0.01,0.06,0.12
5.687,-0.08,0.01,0.00,0.08
5.696,-0.11,0.02,0.00,0.11
5.706,-0.11,0.01,-0.00,0.11
5.716,-0.08,0.01,-0.04,0.09
5.726,-0.08,0.01,-0.03,0.08
5.736,-0.08,0.01,-0.02,0.08
5.746,-0.08,0.03,-0.03,0.09
5.757,-0.10,0.04,-0.02,0.11
5.766,-0.14,0.03,0.01,0.14
5.777,-0.16,0.04,0.04,0.17
5.787,-0.22,0.03,-0.00,0.22
5.796,-0.26,0.05,-0.06,0.27
5.806,-0.26,0.06,-0.10,0.28
5.816,-0.21,0.04,-0.09,0.24
5.827,-0.14,0.03,-0.05,0.15
5.837,-0.03,0.03,0.02,0.05
5.847,0.03,0.00,0.04,0.05
5.857,0.05,0.00,0.00,0.05
5.867,-0.00,0.02,-0.01,0.02
5.877,-0.01,0.06,0.02,0.07
5.887,-0.04,0.05,0.03,0.07
5.897,-0.13,0.04,0.07,0.15
5.907,-0.17,0.07,0.12,0.22
5.917,-0.19,0.04,0.15,0.25
5.927,-0.13,0.06,0.10,0.17
5.937,-0.08,0.06,0.03,0.10
5.947,-0.05,0.07,-0.01,0.08
5.956,-0.02,0.05,-0.05,0.08
5.966,-0.00,0.04,-0.06,0.07
5.977,-0.07,0.02,-0.00,0.08
5.987,-0.12,0.02,0.10,0.16
5.997,-0.14,0.01,0.12,0.18
6.007,-0.10,0.01,0.12,0.16
6.017,-0.07,0.04,0.10,0.12
6.027,-0.06,0.04,0.09,0.12
6.037,-0.09,0.03,0.05,0.11
6.047,-0.10,0.06,-0.00,0.12
6.057,-0.13,0.06,-0.03,0.15
6.067,-0.11,0.06,-0.07,0.14
6.077,-0.12,0.03,-0.04,0.13
6.087,-0.14,0.00,0.05,0.15
6.097,-0.12,-0.01,0.02,0.13
6.107,-0.13,0.01,-0.02,0.13
6.117,-0.15,0.03,-0.05,0.16
6.127,-0.15,0.05,-0.09,0.18
6.137,-0.08,0.04,-0.10,0.13
6.147,-0.08,0.03,-0.04,0.09
6.157,-0.15,0.04,0.01,0.15
6.167,-0.16,0.03,0.06,0.18
6.177,-0.19,0.03,0.10,0.21
6.187,-0.22,0.01,0.07,0.23
6.197,-0.18,0.02,0.01,0.18
6.207,-0.11,0.01,-0.04,0.11
6.217,-0.03,-0.04,-0.06,0.08
6.227,-0.01,-0.03,-0.08,0.08
6.237,-0.00,-0.02,-0.06,0.06
6.247,-0.01,0.01,-0.03,0.04
6.257,-0.05,0.01,0.01,0.05
6.267,-0.07,0.03,0.04,0.08
6.277,-0.12,0.04,0.07,0.14
6.287,-0.13,0.06,0.09,0.17
6.297,-0.14,0.07,0.09,0.18
6.307,-0.11,0.08,0.05,0.14
6.317,-0.10,0.11,-0.02,0.15
6.327,-0.11,0.12,-0.07,0.18
6.337,-0.13,0.10,-0.07,0.18
6.347,-0.10,0.10,-0.06,0.16
6.357,-0.09,0.08,-0.00,0.12
6.367,-0.12,0.07,0.10,0.17
6.377,-0.22,0.08,0.15,0.27
6.387,-0.17,0.07,0.08,0.20
6.397,-0.14,0.08,-0.05,0.17
6.407,-0.18,0.08,-0.01,0.20
6.417,-0.12,0.05,-0.09,0.16
6.427,-0.05,0.06,-0.08,0.11
6.437,-0.08,0.05,0.01,0.09
6.447,-0.05,0.02,0.01,0.06
6.457,-0.06,-0.01,0.03,0.07
6.467,-0.11,0.02,0.06,0.13
6.477,-0.16,0.03,0.01,0.17
6.487,-0.11,0.04,-0.02,0.12
6.497,-0.07,0.05,-0.04,0.10
6.507,-0.04,0.03,-0.04,0.07
