time,ax,ay,az,atotal
1.481,-0.02,0.17,-0.02,0.17
1.491,-0.03,0.15,-0.06,0.16
1.501,-0.10,0.14,-0.10,0.20
1.511,-0.17,0.17,-0.08,0.25
1.521,-0.17,0.20,-0.05,0.27
1.531,-0.19,0.17,0.02,0.25
1.541,-0.22,0.17,0.05,0.28
1.551,-0.26,0.20,0.04,0.33
1.561,-0.26,0.26,-0.04,0.37
1.571,-0.22,0.33,-0.17,0.43
1.581,-0.17,0.38,-0.23,0.48
1.591,-0.09,0.37,-0.18,0.42
1.601,-0.05,0.34,-0.02,0.35
1.611,-0.06,0.28,0.18,0.34
1.621,-0.08,0.25,0.34,0.43
1.631,-0.01,0.22,0.31,0.38
1.641,0.10,0.17,0.17,0.26
1.651,0.17,0.11,0.05,0.21
1.661,0.23,0.09,-0.07,0.26
1.671,0.27,0.09,-0.15,0.32
1.682,0.26,0.08,-0.17,0.32
1.691,0.22,0.05,-0.11,0.25
1.702,0.16,0.04,-0.04,0.17
1.712,0.13,0.04,-0.02,0.14
1.722,0.13,0.04,-0.01,0.14
1.732,0.12,0.02,-0.02,0.13
1.742,0.06,0.02,0.00,0.07
1.752,0.02,0.05,0.02,0.06
1.762,0.00,0.10,0.03,0.10
1.772,-0.07,0.11,0.03,0.13
1.782,-0.06,0.11,0.02,0.13
1.792,-0.04,0.12,0.03,0.12
1.802,-0.02,0.13,0.06,0.15
1.812,0.03,0.13,0.02,0.14
1.822,0.10,0.15,-0.06,0.19
1.832,0.09,0.12,-0.06,0.16
1.842,-0.02,0.09,-0.01,0.09
1.852,-0.08,0.06,0.08,0.12
1.862,-0.08,0.06,0.16,0.19
1.872,-0.09,0.04,0.21,0.23
1.882,-0.16,0.05,0.21,0.27
1.892,-0.19,0.18,0.22,0.34
1.902,-0.08,0.47,0.31,0.57
1.912,0.06,0.68,0.25,0.72
1.922,0.04,0.60,-0.02,0.60
1.932,-0.10,0.35,-0.30,0.47
1.942,-0.17,0.08,-0.41,0.45
1.952,-0.18,-0.15,-0.40,0.46
1.962,-0.14,-0.29,-0.39,0.51
1.972,0.00,-0.39,-0.39,0.56
1.982,0.06,-0.48,-0.32,0.58
1.992,0.03,-0.58,-0.14,0.60
2.002,0.02,-0.55,0.11,0.56
2.012,0.01,-0.39,0.30,0.49
2.022,0.02,-0.22,0.32,0.39
2.032,0.02,-0.07,0.18,0.19
2.042,0.05,0.02,0.06,0.08
2.052,0.07,0.11,-0.03,0.13
2.062,0.07,0.20,-0.08,0.23
2.072,0.01,0.21,-0.10,0.24
2.082,-0.05,0.19,-0.06,0.20
2.092,-0.09,0.17,-0.01,0.19
2.102,-0.08,0.15,0.01,0.17
2.112,-0.09,0.16,0.01,0.18
2.122,-0.09,0.19,-0.04,0.21
2.132,-0.10,0.21,-0.08,0.25
2.142,-0.09,0.24,-0.10,0.27
2.152,-0.06,0.24,-0.07,0.25
2.162,-0.02,0.25,-0.01,0.25
2.172,0.02,0.26,0.04,0.26
2.182,0.04,0.26,0.07,0.27
2.192,0.03,0.23,0.10,0.26
2.202,0.02,0.21,0.12,0.25
2.212,0.02,0.21,0.11,0.24
2.222,0.00,0.18,0.09,0.20
2.232,-0.02,0.15,0.08,0.18
2.242,-0.04,0.12,0.06,0.14
2.252,-0.01,0.07,0.01,0.07
2.262,0.03,0.03,-0.05,0.06
2.272,0.03,-0.00,-0.05,0.06
2.282,0.02,-0.03,-0.04,0.05
2.292,0.01,-0.00,-0.01,0.02
2.302,0.01,0.01,0.01,0.01
2.312,0.00,-0.01,0.01,0.01
2.322,0.00,-0.01,0.03,0.03
2.332,0.01,-0.01,0.05,0.05
2.342,0.01,0.01,0.04,0.04
2.352,-0.01,-0.01,0.04,0.04
2.362,-0.02,-0.01,0.02,0.03
2.372,0.02,-0.02,-0.02,0.03
2.382,0.01,-0.01,-0.04,0.04
2.392,0.01,0.01,-0.03,0.03
2.402,-0.01,0.01,0.00,0.01
2.412,-0.02,0.03,0.06,0.07
2.422,-0.06,0.07,0.09,0.13
2.432,-0.04,0.08,0.09,0.13
2.442,-0.04,0.10,0.07,0.13
2.452,-0.01,0.12,0.07,0.14
2.462,0.02,0.10,0.06,0.12
2.472,-0.00,0.11,0.02,0.11
2.482,-0.01,0.09,0.02,0.09
2.492,-0.00,0.08,-0.01,0.08
2.502,0.00,0.07,-0.01,0.07
2.512,-0.01,0.08,0.01,0.08
2.522,-0.02,0.07,0.02,0.08
2.532,-0.03,0.08,-0.00,0.08
2.542,-0.03,0.08,-0.01,0.09
2.552,-0.03,0.08,-0.02,0.09
2.562,-0.01,0.07,-0.01,0.07
2.572,-0.02,0.06,-0.02,0.07
2.582,-0.04,0.04,-0.02,0.06
2.592,-0.03,0.04,-0.02,0.06
2.602,-0.03,0.04,-0.01,0.05
2.612,0.01,0.03,-0.03,0.04
2.622,0.02,0.03,0.00,0.04
2.632,0.02,0.05,0.01,0.05
2.642,0.05,0.04,-0.02,0.07
2.652,0.02,0.03,-0.05,0.06
2.662,-0.03,0.02,-0.04,0.05
2.672,-0.07,0.07,-0.02,0.10
2.682,-0.05,0.09,-0.06,0.12
2.692,-0.00,0.09,-0.13,0.16
2.702,-0.01,0.07,-0.14,0.15
2.712,-0.03,0.03,-0.11,0.12
2.722,-0.04,0.04,-0.07,0.09
2.732,-0.02,0.05,-0.08,0.10
2.742,0.00,0.07,-0.05,0.08
2.753,0.04,0.07,0.00,0.08
2.762,0.03,0.06,0.03,0.08
2.773,-0.01,0.08,0.07,0.11
2.783,-0.04,0.08,0.05,0.10
2.793,-0.02,0.11,0.01,0.11
2.803,-0.03,0.11,0.01,0.11
2.813,-0.03,0.10,-0.03,0.11
2.823,-0.03,0.10,-0.04,0.11
2.833,-0.04,0.07,-0.03,0.08
2.843,-0.04,0.05,-0.00,0.06
2.853,-0.02,0.06,-0.02,0.06
2.863,-0.02,0.04,-0.01,0.05
2.873,0.02,0.03,-0.01,0.04
2.883,0.01,0.04,-0.04,0.05
2.893,-0.00,0.03,-0.03,0.04
2.903,0.01,0.02,-0.03,0.03
2.913,-0.01,0.02,-0.04,0.04
2.923,-0.01,0.05,-0.02,0.05
2.933,-0.02,0.06,0.01,0.06
2.943,-0.02,0.07,0.07,0.10
2.953,-0.05,0.07,0.06,0.11
2.963,-0.01,0.06,0.04,0.07
2.973,0.03,0.05,-0.01,0.06
2.983,0.05,0.04,-0.03,0.07
2.993,0.04,0.02,-0.06,0.07
3.003,0.02,0.05,-0.08,0.10
3.013,0.02,0.06,-0.06,0.08
3.023,0.00,0.04,-0.03,0.05
3.033,0.02,0.03,-0.01,0.04
3.043,0.01,0.02,0.03,0.04
3.053,0.01,0.02,0.04,0.04
3.063,0.00,0.02,0.04,0.05
3.073,0.01,0.03,0.04,0.05
3.083,0.01,0.05,0.02,0.05
3.093,0.02,0.05,0.02,0.06
3.103,0.04,0.08,0.02,0.09
3.113,-0.00,0.06,0.05,0.07
3.123,0.01,0.05,0.04,0.07
3.133,-0.00,0.05,0.04,0.06
3.143,-0.04,0.07,0.02,0.08
3.153,-0.03,0.08,0.01,0.08
3.163,-0.01,0.06,-0.01,0.06
3.173,0.00,0.05,-0.01,0.05
3.183,-0.02,0.04,-0.00,0.04
3.193,-0.03,0.03,0.00,0.05
3.203,-0.03,0.04,0.02,0.05
3.213,-0.01,0.03,-0.00,0.03
3.223,0.01,0.04,0.01,0.04
3.233,0.01,0.03,0.03,0.05
3.243,0.03,0.03,0.00,0.04
3.253,0.03,0.03,0.01,0.04
3.263,-0.02,0.04,-0.03,0.05
3.273,-0.03,0.04,-0.04,0.07
3.283,-0.00,0.05,-0.04,0.07
3.293,0.00,0.05,-0.02,0.06
3.303,0.02,0.05,0.01,0.05
3.313,-0.00,0.04,0.01,0.04
3.323,0.02,0.01,-0.02,0.03
3.333,0.03,-0.00,-0.05,0.06
3.343,0.01,-0.00,-0.04,0.04
3.353,-0.00,0.03,-0.01,0.03
3.363,-0.01,0.06,-0.02,0.06
3.373,0.03,0.06,-0.05,0.08
3.383,0.03,0.02,-0.10,0.11
3.393,0.02,0.01,-0.07,0.07
3.403,-0.02,0.01,-0.04,0.04
3.413,-0.04,0.02,0.01,0.04
3.423,-0.02,0.03,-0.01,0.04
3.433,0.01,0.04,-0.00,0.05
3.443,0.02,0.06,0.03,0.07
3.453,0.02,0.06,0.02,0.07
3.463,-0.02,0.06,-0.00,0.06
3.473,-0.04,0.05,-0.01,0.06
3.483,-0.05,0.05,-0.03,0.08
3.493,-0.01,0.06,-0.04,0.07
3.503,-0.00,0.08,-0.01,0.08
3.513,-0.01,0.06,0.02,0.07
3.523,-0.02,0.05,0.01,0.05
3.533,-0.04,0.05,0.02,0.06
3.543,-0.05,0.05,-0.02,0.07
3.553,-0.04,0.03,-0.04,0.07
3.563,-0.02,0.03,0.01,0.04
3.573,-0.02,0.03,-0.00,0.04
3.583,-0.02,0.04,0.01,0.05
3.593,-0.00,0.06,0.02,0.06
3.603,0.02,0.02,0.02,0.04
3.613,0.04,0.02,0.04,0.06
3.623,0.02,0.03,0.06,0.07
3.633,-0.00,0.04,0.08,0.09
3.643,0.01,0.05,0.03,0.06
3.653,0.02,0.05,-0.03,0.06
