time,ax,ay,az,atotal
1.481,-1.75,-0.05,0.39,1.79
1.491,-1.56,0.02,0.22,1.58
1.501,-1.40,0.15,0.35,1.46
1.511,-1.06,0.36,0.38,1.18
1.521,-0.95,0.42,0.36,1.10
1.531,-1.03,0.28,0.48,1.16
1.541,-0.96,0.11,0.66,1.16
1.551,-0.61,-0.07,0.70,0.93
1.561,-0.27,-0.21,0.54,0.64
1.571,0.00,-0.31,0.43,0.53
1.581,0.38,-0.15,0.59,0.72
1.591,0.82,0.18,0.77,1.14
1.601,1.08,0.44,0.87,1.46
1.611,1.14,0.49,1.10,1.66
1.621,1.14,0.33,1.17,1.67
1.631,1.40,0.23,0.97,1.72
1.641,1.44,0.34,0.73,1.64
1.651,1.23,0.46,0.38,1.37
1.661,1.08,0.54,0.14,1.22
1.671,0.79,0.56,0.11,0.97
1.681,0.19,0.37,0.33,0.53
1.691,-0.12,0.15,0.48,0.52
1.701,-0.22,0.34,0.63,0.75
1.711,-0.35,0.53,0.59,0.87
1.721,-0.60,0.59,0.65,1.06
1.731,-0.70,0.64,0.71,1.19
1.741,-0.80,0.56,0.74,1.22
1.751,-1.01,0.40,0.95,1.44
1.761,-0.83,0.23,1.17,1.45
1.771,-0.41,0.04,1.11,1.18
1.781,-0.18,0.12,0.94,0.96
1.791,-0.21,0.41,0.74,0.87
1.801,-0.25,0.59,0.47,0.80
1.811,-0.21,0.63,0.25,0.71
1.821,-0.03,0.47,0.13,0.48
1.831,0.24,0.13,0.12,0.30
1.841,0.56,-0.05,0.20,0.60
1.851,0.85,-0.05,0.34,0.91
1.861,0.97,0.12,0.24,1.01
1.871,0.87,0.27,0.04,0.91
1.881,0.64,0.32,0.06,0.72
1.891,0.25,0.39,0.41,0.62
1.901,-0.17,0.47,0.98,1.10
1.911,-0.37,0.42,1.48,1.58
1.921,-0.40,0.09,1.61,1.66
1.931,0.10,0.15,1.53,1.54
1.941,0.30,0.44,1.08,1.20
1.951,0.23,0.59,0.44,0.78
1.961,0.47,0.64,0.11,0.80
1.971,0.50,0.53,0.15,0.75
1.981,0.23,0.44,0.32,0.59
1.991,0.10,0.32,0.36,0.49
2.001,-0.13,0.36,0.27,0.47
2.011,-0.42,0.40,0.16,0.60
2.021,-0.69,0.38,0.08,0.79
2.031,-0.96,0.39,0.17,1.05
2.041,-1.26,0.42,0.30,1.36
2.051,-1.24,0.34,0.24,1.31
2.061,-1.04,0.16,0.12,1.06
2.071,-0.75,0.23,0.04,0.78
2.082,-0.51,0.35,-0.07,0.62
2.091,-0.35,0.28,-0.11,0.46
2.101,-0.19,0.24,-0.04,0.31
2.111,-0.11,0.28,0.11,0.32
2.121,0.06,0.31,0.24,0.40
2.131,0.25,0.28,0.41,0.55
2.141,0.40,0.29,0.52,0.71
2.151,0.33,0.30,0.50,0.67
2.161,0.10,0.29,0.44,0.53
2.171,-0.16,0.27,0.31,0.44
2.181,-0.42,0.22,0.19,0.51
2.191,-0.45,0.19,0.22,0.54
2.201,-0.32,0.24,0.26,0.48
2.211,-0.27,0.29,0.28,0.48
2.221,-0.30,0.29,0.33,0.53
2.231,-0.34,0.11,0.43,0.56
2.241,-0.38,-0.21,0.53,0.69
2.251,-0.25,-0.11,0.42,0.50
2.261,-0.13,0.27,0.02,0.30
2.272,-0.14,0.53,-0.28,0.61
2.281,-0.21,0.63,-0.22,0.70
2.292,-0.33,0.58,-0.01,0.67
2.302,-0.26,0.47,0.16,0.56
2.312,-0.40,0.31,0.26,0.57
2.322,-0.35,0.27,0.22,0.49
2.332,-0.03,0.29,0.17,0.34
2.342,0.09,0.17,0.13,0.23
2.352,0.08,0.11,0.35,0.37
2.362,-0.10,0.30,0.70,0.77
2.372,-0.37,0.54,0.76,1.01
2.382,-0.49,0.53,0.56,0.91
2.392,-0.11,0.34,0.26,0.44
2.402,0.31,0.05,0.06,0.32
2.412,0.61,-0.16,0.14,0.64
2.422,0.64,-0.01,0.16,0.66
2.432,0.30,0.06,0.24,0.39
2.442,-0.03,-0.02,0.35,0.35
2.452,-0.24,-0.07,0.37,0.44
2.462,-0.50,0.09,0.40,0.65
2.472,-0.61,0.50,0.27,0.83
2.482,-0.22,0.62,-0.06,0.66
2.492,0.10,0.52,-0.22,0.58
2.502,-0.00,0.38,-0.01,0.38
2.512,-0.20,0.54,0.33,0.66
2.522,-0.32,0.82,0.66,1.10
2.532,-0.29,0.93,0.81,1.27
2.542,-0.12,0.84,0.80,1.17
2.552,0.21,0.68,0.45,0.84
2.562,0.39,0.49,0.18,0.65
2.572,0.48,0.34,-0.05,0.59
2.582,0.37,0.29,-0.14,0.49
2.592,0.06,0.35,-0.01,0.36
2.602,-0.24,0.49,0.11,0.56
2.612,-0.45,0.41,-0.01,0.60
2.622,-0.54,0.23,-0.37,0.69
2.632,-0.47,0.16,-0.78,0.93
2.642,-0.34,0.19,-0.84,0.93
2.652,-0.05,0.24,-0.74,0.78
2.662,-0.01,0.24,-0.50,0.56
2.672,-0.19,0.23,-0.28,0.41
2.682,-0.75,0.41,-0.82,1.18
2.692,-0.85,0.20,-1.33,1.59
2.702,-0.38,-0.35,-1.23,1.33
2.712,0.09,-0.81,-0.14,0.83
2.722,0.17,-0.75,1.05,1.30
2.732,-0.01,-0.51,1.94,2.01
2.742,-0.05,-0.38,2.27,2.30
2.752,0.11,-0.26,1.68,1.70
2.762,0.18,0.01,0.93,0.94
2.772,0.39,0.10,0.35,0.53
2.782,0.55,0.06,0.12,0.56
2.792,0.28,0.07,0.15,0.33
2.802,-0.74,0.11,-0.05,0.75
2.812,-1.20,0.13,-0.16,1.22
2.822,-0.22,0.22,0.09,0.32
2.832,0.12,0.20,0.22,0.33
2.842,0.01,0.14,0.03,0.15
2.852,0.06,0.17,-0.09,0.20
2.862,0.07,0.24,-0.13,0.29
2.872,0.18,0.26,-0.20,0.37
2.882,0.08,0.20,-0.07,0.23
2.892,-0.16,0.22,0.19,0.33
2.902,-0.45,0.23,0.48,0.70
2.912,-0.59,0.10,0.51,0.79
